dia,hora,temp_olesa,%_hum_olesa,wind_speed_olesa,dir_wind_speed_olesa,pressure_olesa,rain_olesa,temp_vacarisses,%_hum_vacarisses,wind_speed_vacarisses,dir_wind_speed_vacarisses,pressure_vacarisses,radiation_vacarisses,rain_vacarisses
2019-11-06,17,16.3,55,2,OSO,1009,0.0,13.6,62,3,ONO,1010,5,0.0
2019-11-06,18,14.9,59,1,OSO,1010,0.0,12.7,64,1,NO ,1011,0,0.0
2019-11-06,19,13.3,64,0,S,1010,0.0,12.0,65,6,NNE,1011,0,0.0
2019-11-06,20,12.2,68,0,S,1010,0.0,11.6,67,8,N,1011,0,0.0
2019-11-07,15,16.9,57,2,NNO,1005,0.0,13.9,65,6,OSO,1007,332,0.0
2019-11-07,16,16.3,57,3,NNE,1006,0.0,13.2,67,3,O,1007,86,0.0
2019-11-07,17,15.3,58,2,NNO,1005,0.0,12.1,68,1,NO ,1006,40,0.0
2019-11-07,18,13.8,60,0,ONO,1006,0.0,10.8,67,1,O,1006,0,0.0
2019-11-07,19,12.7,59,3,OSO,1006,0.0,10.3,66,6,NO ,1006,0,0.0
2019-11-07,20,11.9,59,1,SE,1006,0.0,9.9,61,1,N,1007,0,0.0
2019-11-07,21,10.6,63,0,N,1006,0.0,9.3,61,2,ONO,1007,0,0.0
2019-11-08,17,12.9,52,7,O,1007,0.0,10.0,61,2,ONO,1008,111,0.0
2019-11-08,18,11.3,59,5,O,1007,0.0,8.4,67,2,O,1008,0,0.0
2019-11-08,19,10.3,63,1,NNO,1007,0.0,7.5,71,8,NNO,1008,0,0.0
2019-11-08,20,9.8,64,7,NNO,1008,0.0,7.2,71,1,ONO,1009,0,0.0
2019-11-09,9,8.8,70,3,N,1015,0.0,5.8,80,1,NNE,1016,63,0.0
2019-11-09,10,10.5,65,5,N,1015,0.0,7.7,74,2,NO ,1016,367,0.0
2019-11-09,11,12.3,60,4,N,1015,0.0,9.5,69,1,NNO,1016,480,0.0
2019-11-09,18,12.9,60,1,O,1012,0.0,10.4,67,1,NNO,1013,0,0.0
2019-11-09,19,13.3,57,3,O,1011,0.0,10.3,67,3,NNO,1012,0,0.0
2019-11-09,20,13.1,57,1,SSO,1010,0.0,10.2,66,1,ONO,1011,0,0.0
2019-11-10,9,8.3,88,0,SSO,1009,3.4,6.4,90,0,NNE,1010,127,2.4
2019-11-10,10,9.3,77,0,OSO,1009,3.4,7.0,85,3,NNE,1010,195,2.4
2019-11-10,11,11.6,68,2,N,1009,3.4,9.3,75,1,N,1009,506,2.4
2019-11-10,13,15.0,44,5,N,1007,3.4,12.2,51,8,N,1008,510,2.4
